Surface,ID,RMS,RMS_filt,Zero-Cross,Zero-Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet Asphalt,2021_14_56_51-Nov-10.wav,21.114691923546623,1475.2538294706558,9588.0,11819.0,1152.0953376165232,1280.2330506895557,-1.111965487335228e-09,-1.097533593233571e-09,1984.6913010426804,1873.9923317449498,1952.1329943587643,1475.253827862834
Wet Asphalt,2021_14_57_01-Nov-10.wav,17.61022322495403,2032.3367460220834,7850.0,10601.0,971.6538159038182,1130.8711709833178,-1.1322882546958056e-09,-1.114355922733991e-09,1725.4673150891958,1694.248221785512,2844.7957580406733,2032.336745981489
Wet Asphalt,2021_14_57_11-Nov-10.wav,18.337163438120346,1876.7778027704621,7036.0,9557.0,907.8287098275838,1062.3441180515808,-1.1394767486202622e-09,-1.1220739875198503e-09,1537.2192336886742,1599.9562368088782,2477.116534769011,1876.7777976680666
Wet Asphalt,2021_14_57_22-Nov-10.wav,17.791203554548876,1836.7938698875805,7372.0,9135.0,880.3985727628603,1005.1968536305403,-1.1425661500448559e-09,-1.128510369507203e-09,1505.0287888277346,1547.7821016281155,2235.347785300172,1836.793863858077
Wet Asphalt,2021_14_57_32-Nov-10.wav,14.320318096545348,2469.918038963686,7202.0,8225.0,771.2922836408242,818.0137524305208,-1.1548545729663463e-09,-1.1495924274693179e-09,1469.184738290815,1266.699665772792,2829.51629203415,2469.9180137675908
Wet Asphalt,2021_14_57_42-Nov-10.wav,23.61168210127303,1677.166277951219,6432.0,7120.0,785.1900683289539,805.9478676061591,-1.1532892932992088e-09,-1.1509513839221205e-09,1631.4890942461043,1342.4256424031025,1900.1171751633708,1677.1662268227667
Wet Asphalt,2021_14_57_52-Nov-10.wav,20.85271183044093,1562.939456676158,9281.0,10701.0,900.6544275049756,1002.4396165788849,-1.140284773675901e-09,-1.1288209115965568e-09,1443.2610137995368,1448.614852187328,1845.1873475445384,1562.9394563344695
Wet Asphalt,2021_14_58_02-Nov-10.wav,20.242134761322273,1622.489599153465,9660.0,11082.0,867.8600843360255,974.9144229401188,-1.1439783348952894e-09,-1.131921019052789e-09,1286.0129820797479,1330.134788285257,1932.6460445705195,1622.4895977728438
Wet Asphalt,2021_14_58_13-Nov-10.wav,21.04606922853421,1533.3138138045974,9168.0,10554.0,865.9327326627351,974.1431039053972,-1.1441954086558436e-09,-1.132007891171549e-09,1341.2938337784335,1391.070991447546,1815.405821599138,1533.3138069681852
Wet Asphalt,2021_14_58_23-Nov-10.wav,25.227561759249244,1271.278271317578,7305.0,7781.0,792.9043076447006,916.7790749417522,-1.152420453968385e-09,-1.1384686869153894e-09,1356.0257946327529,1561.6742516036743,1444.8167593363125,1271.2782583677072
