Label,RMS,RMS_filt,Zero_Cross,Zero_Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt,kurt_filt
Wet gravel,121.92391460937922,85.87118160323215,1120,1674,712.5904996804696,812.0604470475073,900.8488695366395,920.8849937459988,121.92284557295234,85.87117244812767,-0.3624601373655114
Wet gravel,118.56077762961918,82.95456664125669,1603,2353,836.8418452472738,959.8708169613835,1023.9019867601747,1052.3629476587487,118.55970272870834,82.95455054014361,-0.06392442828414602
Wet gravel,143.70605958899915,105.42273134760488,3033,4376,1273.9581217320965,1420.2785316389409,1242.6124586103672,1233.8428115719462,143.70459814525447,105.42272665761823,0.18863861982064156
Wet gravel,180.74153438104577,133.4367621474828,3092,4087,1165.099723623943,1327.8755292836213,1232.012470229196,1235.4716661057655,180.74103423542107,133.4367549907519,2.368671043811017
Wet gravel,297.38314295649,233.1352633914175,4443,5729,1466.841266091738,1608.2609252006919,1333.4576797491359,1316.2499090313804,297.3824295936204,233.13524493170488,1.41254851442645
Wet gravel,602.0773150254299,425.93588057582855,3186,4770,1317.0617019591914,1467.7444495580687,1294.4276338848085,1290.0296532363834,602.0773149196783,425.9356319450584,0.11302587484245619
Wet gravel,640.7642116030669,540.0010964477013,2615,3096,948.5011962419909,1051.583505878066,1093.4413116536548,1098.5824093898912,640.7635306635175,540.0009885562814,0.273266843344004
Wet gravel,924.9648967542234,612.5658256788944,2618,3802,999.0781512442612,1181.6572889771237,1126.2198681840637,1139.888037174731,924.9645763196742,612.5657190906986,8.254162608340495
Wet gravel,808.7329694971078,623.6399080861646,2236,2931,886.5955423583714,1003.7520792820601,1034.3450721337008,1047.2849440673162,808.7307475617504,623.6398407010212,0.21513802357096834
Wet gravel,1102.6305371483577,879.6597729277737,2302,2857,891.2709836411035,1001.2647219775342,1006.4088173527683,1019.2938548699374,1102.6302204745432,879.6597167208898,0.7548788459926463
Wet gravel,1069.1645354419604,903.167826271299,3088,3738,1168.8336853685526,1278.0121399133693,1203.9167663619744,1207.191087407857,1069.1644785074755,903.1675800900762,0.47976056380351606
Wet gravel,993.874567898945,805.8444468734328,3008,3743,1037.9533944903255,1153.2034197348812,1105.9842879025075,1109.411503587788,993.8745661665278,805.8443212356868,6.565739930664945
Wet gravel,1189.4360481749995,1037.183509820317,2265,2618,836.038112036163,922.8639025040832,964.9434966176749,970.4501808364394,1189.4356808512757,1037.1835064772342,0.9231210136446726
Wet gravel,786.6603194473718,667.2289395251781,2722,3277,936.5121550243999,1034.4403111311478,1037.6809845890439,1041.1833470710496,786.6590294314507,667.228807372448,2.9056452493861222
Wet gravel,813.9136227041038,700.2450156296707,3065,3450,1084.1506870718244,1183.6361027907512,1158.4053903006147,1151.4212980684072,813.9119087289484,700.2445692064504,0.502201118452267
Wet gravel,839.5843850542569,703.0286231955307,3188,3732,1066.3976783127985,1182.2182512974446,1135.5747998651325,1142.7314399499762,839.5838907573554,703.0286228830352,0.4702300535056665
Wet gravel,751.936062560686,596.6643531906499,2712,3412,1009.7806707359621,1148.7502069319441,1154.636163237365,1167.28218905223,751.934070821316,596.6643291891575,0.2558100417508493
Wet gravel,923.894817851494,706.8465366356055,2562,3260,989.3905063849932,1131.5705089562684,1137.4242463782648,1151.7715268993834,923.8935442188473,706.8465336357395,0.09962504412520401
Wet gravel,1107.7244773522646,922.9250352467493,2574,3000,909.5708402010083,1023.4345589955996,1050.771402022959,1060.829255894412,1107.7243720229944,922.9247609537315,1.00891212885334
Wet gravel,1113.409380051518,827.2926525480118,1962,2590,803.5648197168041,958.5619787181358,1051.0689357654203,1089.2414688705567,1113.4093123663097,827.292492100843,0.8610733083599755
Wet gravel,1125.8060978586295,873.2112133456927,2267,3091,907.7430552818997,1049.9482818034835,1086.446416374393,1108.533857583078,1125.7770058931842,873.2111557440535,0.911475207414739
Wet gravel,1242.7986252145254,936.149412860633,2138,2728,840.5584741185917,983.1527458259875,1033.6329179798295,1056.1675101694884,1242.7857402235024,936.1493570259474,1.0104566032060118
Wet gravel,1405.4715577748318,1130.1592542028416,2271,3146,1405.834365505468,1543.2846488195123,1234.2881053302783,1210.0928254005044,1405.4668003997067,1130.1591746547479,210.11191870816913
Wet gravel,1141.6107735647465,900.0000840648536,2088,2548,837.7152700202527,963.7472486644341,1030.3325382085625,1054.9197527290762,1141.6107349453557,900.0000096557593,0.4189289878079676
Wet gravel,878.2608102052004,652.9845394355627,2179,2835,886.6821079651041,1037.7407647868563,1119.025622373224,1151.3247280661967,878.2586282506775,652.9838644821832,0.25568847139012973
Wet gravel,1118.0935044309367,853.1857609481821,1832,2303,770.4799852426507,911.3953905888862,1014.6033709003036,1054.9038647189152,1118.079516544003,853.1857294551844,0.17465765511850595
Wet gravel,1175.0239922640556,854.7175781731281,1740,2233,785.174713382873,935.0542198083793,1041.0400133346038,1081.4416275748024,1175.0058021062791,854.7170247781559,-0.021689507222448334
Wet gravel,1138.4942268059247,893.8085144377012,1905,2262,787.191101728127,915.522177252541,1053.031821491815,1073.67618002123,1138.4942267875383,893.808493826742,0.35725603652290294
