Label,RMS,RMS_filt,Spectral_centroid,Spectral_centroid_filt,Zero-Cross,Zero-Cross_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet gravel,2342.972730406213,1642.7161855298925,1454,2205,731.1697789668764,891.6396073149941,-4.8355089561686676e-08,-4.452290015582006e-08,1046.8992539666817,1101.3861036340293,2342.9590089639673,1642.7160151821815
Wet gravel,2397.3916354485114,1585.541938809339,1454,2287,873.342081175456,1056.791287098938,-4.495986445339125e-08,-4.057890318053738e-08,1069.3956519416215,1101.0748744676337,2397.3892301418873,1585.5418312125128
Wet gravel,2739.0484678865623,1833.078257723822,1413,2155,761.1484147208653,922.6274244183443,-4.763916799860289e-08,-4.37828782735957e-08,1035.9705853640219,1067.0189369008717,2739.047294338709,1833.0782421769131
Wet gravel,2621.760732733185,1834.8558945979667,1526,2229,790.8390222494992,945.3319068406673,-4.6930124854503894e-08,-4.324067119392114e-08,1032.1104924832662,1070.2319277782447,2621.7488951336877,1834.8558677501155
Wet gravel,2675.1750802887213,2012.2336239839296,1685,2237,749.7686794190504,895.4477111404736,-4.7910928126435624e-08,-4.443195860446009e-08,1046.5058879063436,1093.076554960941,2675.1747403954623,2012.2335894358966
Wet gravel,2050.3175197114033,1286.7762485363473,1434,2421,744.9699851388841,937.7961454017366,-4.8025526026687325e-08,-4.3420633155921614e-08,1056.1696048179372,1119.519178606018,2050.3170182752588,1286.7762468625824
Wet gravel,2445.0438525262057,1699.1111951837702,1558,2100,666.9650194559707,823.3500487354748,-4.988836719859014e-08,-4.61537271194535e-08,1009.9428155906194,1071.2187696223796,2445.043242378765,1699.1111951772073
Wet gravel,2524.2208996140607,1802.460179513637,1862,2588,817.9254573563081,980.6075510026287,-4.6283272105127084e-08,-4.239825146160031e-08,1047.928537476826,1082.989467155129,2524.220812792739,1802.4599165890127
Wet gravel,2882.5819313192615,2046.1583329057412,1759,2480,767.0485433456337,919.2863805983686,-4.749826668000713e-08,-4.3862665937502666e-08,1021.8503776431854,1060.086353242155,2882.5788379586447,2046.1583173035367
Wet gravel,3084.2395820350644,2206.640268616606,1609,2441,821.4437707873046,983.6198935558319,-4.6199251055216476e-08,-4.232631353197168e-08,1070.2036166929668,1108.6384621087716,3084.2274177051204,2206.6402010521274
Wet gravel,2307.276675063185,1640.2220937079717,1298,1951,681.3148023069961,847.8504157302166,-4.954567919060593e-08,-4.5568632414713046e-08,1023.7308953706257,1094.1197834081304,2307.274790381343,1640.2220532234228
Wet gravel,1226.756162368531,822.4003820768712,1997,2966,850.579386540658,1046.8831906174105,-4.550346170233461e-08,-4.081551901517541e-08,1184.8634652438868,1239.5411026614968,1226.723951832836,822.4002629358301
Wet gravel,720.4460911519728,393.26758774112193,1806,3340,882.4654628054061,1139.6063229530928,-4.4741988440262316e-08,-3.8601192440059223e-08,1180.4507443744021,1235.4672603408228,720.4027483235751,393.267564531693
Wet gravel,1117.2377805826227,850.3431533082877,1808,2190,755.2710363390523,898.8920758586281,-4.7779526017309015e-08,-4.434970352810881e-08,1092.7853654951657,1138.9914305743816,1117.2334835474403,850.3431370079496
Wet gravel,1486.5279321218245,940.319129797091,1691,2598,769.3480196684886,962.738478343702,-4.744335275073956e-08,-4.282498383640941e-08,1141.5966476359865,1198.925019223065,1486.527548998143,940.3189717915521
Wet gravel,1631.6345391537768,1124.6244519988759,1559,2229,695.9207329811766,863.3201714676653,-4.919687410139631e-08,-4.5199198268377516e-08,1034.0823038405058,1096.5649856089583,1631.6334434745272,1124.6244497949106
Wet gravel,1334.2265225691644,858.373082976198,1770,2854,810.9073113548753,1013.2675520678683,-4.645087286243063e-08,-4.1618296055863316e-08,1145.2600404215568,1203.2765101675259,1334.2224663705576,858.3730564747267
Wet gravel,1296.629227946666,864.4205692345788,1871,2866,795.4817457606533,974.7838979574369,-4.6819251701357535e-08,-4.253732646238372e-08,1114.9684141209286,1164.6208952527456,1296.6251707886422,864.4201666698112
Wet gravel,1123.766642060468,617.5149399603621,1872,3010,830.8698197688893,1086.1914481235021,-4.5974147025267326e-08,-3.987679620647934e-08,1189.9180803914235,1258.8970144760156,1123.7628464682598,617.5149212587946
Wet gravel,1295.8697308958642,735.0487843316772,1736,3112,829.7352982704847,1072.6336647608007,-4.600124059987677e-08,-4.0200570428116e-08,1179.8766225066245,1250.044331564828,1295.8634963019797,735.0486791082243
Wet gravel,1072.9984857312713,641.1464787681472,2293,3420,912.9025223703441,1134.6482694331335,-4.4015119231195475e-08,-3.871959600768621e-08,1212.852624636101,1252.0439073835796,1072.9957359092255,641.1464138892637
Wet gravel,1120.4916825114583,534.9436110890189,2081,3991,934.7632250581979,1219.5254128540878,-4.3493062504971176e-08,-3.669263995516035e-08,1225.8263583693456,1272.116940275739,1120.4914332487217,534.9434394963365
Wet gravel,407.960967708512,223.1338636586701,3085,5892,1280.9459448810449,1547.979274384566,-3.522585261850424e-08,-2.8848813975970608e-08,1395.8516119633537,1395.964133365712,407.9608243769721,223.13383492954938
Wet gravel,888.1446405620189,656.9207938569668,2803,3734,1242.8070628003304,1432.5657617274064,-3.613664950391155e-08,-3.160501085766192e-08,1405.270489360168,1423.03860205825,888.1391796427528,656.9207717018616
Wet gravel,1053.5427573295815,846.5821829796413,3921,4777,1323.061306080766,1486.3093683123425,-3.4220093201452365e-08,-3.0321556628864057e-08,1408.6990734606036,1414.7476925014516,1053.5427554014175,846.5817389230562
Wet gravel,1614.233413639797,958.7856727876283,2037,3276,927.3397411044689,1163.5652363806437,-4.367034316174602e-08,-3.802902821979249e-08,1230.6657489675772,1277.1794346893182,1614.232286676145,958.7855446014967
Wet gravel,1498.430074143246,1046.9468386470398,3271,4641,1223.3981190744366,1423.4373860840883,-3.6600155630210125e-08,-3.182300613311772e-08,1371.6528403182406,1384.921637514082,1498.4298336783197,1046.9464037504151
Wet gravel,1432.7615094676794,958.2443963336001,2129,3134,899.9783209316658,1099.2096033338003,-4.432376284565205e-08,-3.956590887647855e-08,1196.10207659417,1245.8179724586707,1432.761462399386,958.2443053938078
Wet gravel,1733.2608544552008,958.5915283169945,1653,2751,804.5401035736384,1046.057942526979,-4.6602928525824714e-08,-4.083522681334481e-08,1143.2211836480608,1210.2076237549936,1733.2376055889322,958.5914109803444
Wet gravel,1814.2604548222164,1063.4170043330437,1642,2674,781.0898787151724,1009.3502635010425,-4.716294472446395e-08,-4.1711845054451047e-08,1135.8404723059618,1211.5909745122003,1814.2586604814262,1063.4158967506878
