Label,RMS,RMS_filt,Zero_Cross,Zero_Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt,kurt_filt
Wet gravel,121.92391460938127,85.87118160323317,1120,1674,712.590499680659,812.0604470477313,900.8488695369704,920.8849937463609,121.92284557295439,85.8711724481287,-0.3624601373656495
Wet gravel,118.56077762961824,82.954566641256,1603,2353,836.8418452474989,959.8708169616173,1023.9019867604572,1052.362947659002,118.5597027287074,82.95455054014292,-0.06392442828365796
Wet gravel,143.70605958900202,105.4227313476053,3033,4376,1273.9581217320942,1420.2785316389406,1242.6124586103792,1233.8428115719548,143.7045981452574,105.42272665761868,0.18863861982081298
Wet gravel,180.74153438104145,133.43676214748328,3092,4087,1165.0997236240394,1327.8755292837186,1232.0124702293285,1235.471666105919,180.74103423541672,133.43675499075238,2.3686710438106395
Wet gravel,297.383142956495,233.13526339142138,4443,5729,1466.8412660916533,1608.260925200598,1333.4576797490986,1316.249909031341,297.3824295936254,233.13524493170874,1.4125485144263976
Wet gravel,602.0773150254385,425.9358805758264,3186,4770,1317.061701959224,1467.7444495581228,1294.42763388486,1290.029653236434,602.0773149196867,425.9356319450563,0.11302587484223414
Wet gravel,640.7642116030377,540.001096447677,2615,3096,948.5011962422014,1051.5835058783211,1093.441311653894,1098.5824093901615,640.7635306634882,540.0009885562572,0.27326684334377926
Wet gravel,924.9648967541863,612.5658256788882,2618,3802,999.0781512442826,1181.6572889771637,1126.2198681840653,1139.8880371747819,924.9645763196369,612.5657190906924,8.254162608345945
Wet gravel,808.7329694970923,623.6399080861693,2236,2931,886.5955423584132,1003.7520792821965,1034.345072133727,1047.284944067539,808.730747561735,623.6398407010258,0.21513802357140754
Wet gravel,1102.6305371483618,879.6597729277789,2302,2857,891.2709836410455,1001.2647219774607,1006.4088173527487,1019.2938548699141,1102.6302204745475,879.6597167208952,0.7548788459920077
Wet gravel,1069.1645354419397,903.1678262712807,3088,3738,1168.8336853684586,1278.0121399132615,1203.9167663618898,1207.1910874077735,1069.1644785074548,903.1675800900579,0.47976056380380916
Wet gravel,993.8745678989499,805.8444468734449,3008,3743,1037.9533944903012,1153.2034197348712,1105.9842879025114,1109.411503587838,993.8745661665325,805.8443212356989,6.565739930660667
Wet gravel,1189.4360481750275,1037.1835098203417,2265,2618,836.0381120364092,922.8639025042846,964.9434966180168,970.4501808366814,1189.4356808513035,1037.1835064772588,0.9231210136456593
Wet gravel,786.6603194473965,667.2289395252052,2722,3277,936.5121550244276,1034.440311131164,1037.6809845890896,1041.1833470710849,786.6590294314755,667.228807372475,2.9056452493917826
Wet gravel,813.9136227041066,700.2450156296812,3065,3450,1084.150687071874,1183.6361027908192,1158.4053903006725,1151.421298068483,813.9119087289514,700.2445692064609,0.5022011184524775
Wet gravel,839.5843850542465,703.0286231955195,3188,3732,1066.3976783128462,1182.2182512974894,1135.5747998652298,1142.7314399500544,839.583890757345,703.028622883024,0.4702300535053814
Wet gravel,751.9360625606884,596.6643531906657,2712,3412,1009.7806707360367,1148.750206932005,1154.6361632374208,1167.2821890522698,751.9340708213184,596.6643291891733,0.25581004175071387
Wet gravel,923.8948178515377,706.8465366356392,2562,3260,989.39050638489,1131.5705089561575,1137.4242463782311,1151.7715268993666,923.8935442188908,706.8465336357732,0.09962504412583995
Wet gravel,1107.7244773522423,922.9250352467204,2574,3000,909.5708402010673,1023.4345589956748,1050.771402022934,1060.8292558943965,1107.7243720229721,922.9247609537026,1.0089121288529563
Wet gravel,1113.4093800514759,827.2926525479761,1962,2590,803.5648197166433,958.5619787179568,1051.0689357652357,1089.2414688703739,1113.4093123662676,827.2924921008073,0.8610733083578399
Wet gravel,1125.8060978586166,873.2112133456709,2267,3091,907.7430552820158,1049.9482818036226,1086.4464163745204,1108.533857583214,1125.7770058931715,873.2111557440318,0.9114752074165349
Wet gravel,1242.798625214499,936.1494128606141,2138,2728,840.5584741186151,983.1527458259653,1033.6329179798358,1056.1675101694043,1242.7857402234763,936.1493570259286,1.0104566032082936
Wet gravel,1405.4715577748468,1130.1592542028593,2271,3146,1405.8343655055332,1543.2846488195598,1234.2881053306733,1210.092825400932,1405.4668003997215,1130.1591746547658,210.11191870775633
Wet gravel,1141.610773564741,900.0000840648477,2088,2548,837.7152700201922,963.7472486643748,1030.332538208485,1054.9197527290164,1141.6107349453503,900.0000096557535,0.4189289878068383
Wet gravel,878.2608102051927,652.9845394355432,2179,2835,886.6821079652615,1037.740764787046,1119.0256223733934,1151.3247280663606,878.2586282506699,652.9838644821637,0.2556884713901133
Wet gravel,1118.0935044309651,853.1857609482164,1832,2303,770.4799852426607,911.3953905889183,1014.6033709003248,1054.903864718978,1118.0795165440313,853.1857294552187,0.17465765511907438
Wet gravel,1175.0239922640499,854.7175781731172,1740,2233,785.1747133829531,935.0542198084635,1041.0400133347212,1081.44162757491,1175.005802106273,854.717024778145,-0.02168950722277918
Wet gravel,1138.4942268059149,893.8085144376826,1905,2262,787.1911017282639,915.522177252612,1053.0318214919405,1073.6761800212116,1138.4942267875285,893.8084938267234,0.35725603652390303
Wet gravel,1106.3040607139521,835.2297466387865,1881,2395,790.9455364038561,939.3924504523703,1049.5069486812388,1084.0305752859913,1106.293304425673,835.2294430051944,0.48929731531158493
Wet gravel,1037.8652950938133,774.123456074415,2135,2818,898.6729072304242,1035.1232673913842,1099.1063482842776,1106.4693587710053,1037.8648566573904,774.1233890763334,0.620031325893112
Wet gravel,1205.0408617235132,921.1905740732325,2006,2709,793.3587023304478,932.5682571529308,1027.1596284812967,1066.4021761052793,1205.0372627537886,921.1904504625003,1.4692271447958936
Wet gravel,1148.393191066535,926.5026290521305,2152,2757,821.0615641564272,951.1835512095079,1045.8063067268226,1076.5260559716312,1148.3907229755353,926.5026275846425,2.4895525703397396
Wet gravel,1050.7531379997235,879.0803568313719,3169,3731,1095.4016358731774,1220.3289192386442,1179.6839140062725,1184.4119372451455,1050.7523150681436,879.0803457790585,0.38322589986497047
Wet gravel,2284.719388393256,1821.962827293896,1949,2380,666.2036537142698,765.8657057783811,883.5565170820897,893.5035105007485,2284.7166009745943,1821.962665260205,0.6493460322265561
Wet gravel,1742.2157388874052,1352.8363369441802,1768,2259,608.8637215981219,721.3953058718997,809.2652862869379,841.8652874901928,1742.2153578215054,1352.8361162853287,1.2564289761253953
Wet gravel,985.5453048432079,810.3507863574683,1495,1981,640.7028392139953,755.3909019333635,941.2439017222134,981.8934895359681,985.5433626120149,810.3503238590542,0.8522045454869578
Wet gravel,762.7760602643331,467.0993206601906,973,1692,687.6624898364057,848.3589309938212,1063.0082776781708,1119.7213181582351,762.7755700501766,467.09931930386523,-0.17770894843413565
Wet gravel,1069.071232289681,741.9940794721392,1490,1924,690.1421007828478,858.9698204784238,1045.9507787389598,1113.759911511372,1069.0700874204142,741.994061098514,0.35952577118996976
Wet gravel,1474.6503008902812,882.2757354870574,1375,2254,721.3039572720633,922.071823122758,1080.6943326527996,1147.861549001445,1474.6502165734385,882.2754643000048,0.379762281356828
Wet gravel,1799.1315023177497,1211.0947110996292,1381,2042,693.6726937055081,863.4879052882025,1046.8513619933224,1108.383488489294,1799.1269852948597,1211.0946051146725,1.1987580391303236
Wet gravel,1868.7753558595632,1227.294997313176,1454,2201,681.3923564885827,859.8270300652151,1032.6584299481228,1103.2768339412771,1868.7750156540903,1227.2948719392368,2.5036873503381933
Wet gravel,2031.7303512959836,1424.181310418215,1456,2233,708.5898355730668,849.8404884562835,988.5942819498943,1026.5089495123452,2031.7267744410024,1424.1813103269938,24.596520938823033
Wet gravel,2813.224520152105,2081.816436599074,1683,2260,838.1876909663318,982.5317816588522,1061.0779818916599,1083.86761028897,2813.2242480066966,2081.816271726066,1.9163331723508517
Wet gravel,3106.0450340770894,2510.7755244857963,1632,2075,875.9478074811456,1001.558021830878,1073.9781242461274,1099.2111823891137,3106.0444569991405,2510.775202796338,3.910872933145332
Wet gravel,2934.364473997781,2228.252643340536,1989,2569,937.7331146269399,1075.0479852944493,1095.6794760886214,1112.2049380364633,2934.364169620802,2228.252394782783,1.8606905766490698
Wet gravel,3023.3851368021333,2191.6544607414457,1382,1923,706.791566004045,863.0698829682757,1011.9016018383973,1066.9817360269458,3023.340936154403,2191.654433860275,1.505299817515712
Wet gravel,3120.685718210748,2242.8928862667767,1270,1867,619.4601392905284,766.5632307230103,941.1338554131044,1006.0678354813773,3120.6848366335007,2242.892587106019,1.2792323825258194
Wet gravel,2736.7628160826794,1823.8730123073303,1498,2324,757.4039650084256,929.0661353346552,1018.6386260426682,1064.5066433780398,2736.7626335752793,1823.8724757306823,2.0340013201517717
Wet gravel,2827.581642287057,2018.1213809456353,1889,2747,964.3099160233977,1126.9826945301736,1097.9329276531603,1112.9371412544888,2827.550637849286,2018.1212924835254,11.884864847088755
Wet gravel,2680.5753258492846,2136.9451129814006,2181,2858,1061.7633859094185,1191.5664335249005,1150.7207452061975,1157.6856357819547,2680.5752658097117,2136.9450033258763,4.854803849622571
Wet gravel,2656.3463977425154,1990.3003018571276,2139,2867,1031.882761762162,1179.90955434869,1157.3594387471217,1168.1744345692766,2656.3422602005994,1990.2999967254307,3.894312429991002
Wet gravel,2552.3721378711653,1823.65932869632,1890,2635,889.6328526151486,1037.5354716015981,1094.5810799408146,1122.5447575413946,2552.3695870073184,1823.6592071014572,2.3560882110073935
Wet gravel,2326.2288160810476,1586.4100782322191,1541,2225,830.4874025259687,1005.5967688307844,1079.142328843076,1119.011892720576,2326.2218116392805,1586.410057496575,2.4771132712652575
Wet gravel,2379.2149158827597,1690.2434913619002,1385,2047,740.2874756491661,893.4091734009861,1056.4201909374437,1100.674777057071,2379.2149110502546,1690.2432087378263,1.1494893121709522
Wet gravel,2403.595276051493,1588.4317693451064,1360,2104,883.7590850897168,1066.8152383673416,1073.8977412871131,1103.8052367604828,2403.5933563242543,1588.4317393680465,6.3271280405068
Wet gravel,2653.234783321438,1795.1893246463057,1291,1999,769.714987043522,937.9802699736751,1034.0055693849395,1079.9337993031977,2653.2287587328,1795.189204435545,2.3546495192691017
Wet gravel,2703.3345480524918,1846.0942254502652,1429,2113,767.3941844504474,933.1853039368393,1006.724849999648,1050.6662626690768,2703.3345449443373,1846.0940115322926,1.8361902370764538
Wet gravel,2713.606509146133,2029.2124956979574,1578,2116,752.8631389577544,901.3178292587887,1048.9890975309843,1095.0281311766178,2713.60642606208,2029.212465144366,2.017706444321254
Wet gravel,2004.472685618793,1335.3494768436556,1339,2226,724.7129545512634,887.4733187918665,1057.0149985365954,1097.5985791107057,2004.4702325988117,1335.3485754887806,1.3689638731554643
Wet gravel,2364.9476066684288,1621.7094827652706,1422,1922,706.4191262537064,867.9175122102595,1037.8927677834367,1096.3277896108316,2364.9465950952786,1621.7093742210739,1.1009127988399845
Wet gravel,2495.7835033099955,1778.472957572728,1738,2415,801.5904129597329,962.5092195189926,1050.0033887427953,1086.5395473341762,2495.7803320976773,1778.4727958758954,0.6042393101648726
Wet gravel,2872.705691582315,2078.879993990349,1644,2279,771.9354542801466,921.7425279202115,1014.8430741690796,1053.3174816736775,2872.7056842200477,2078.8797441086713,3.76305455134709
Wet gravel,3125.34169274945,2179.025540659626,1528,2365,781.7877281497671,947.2588341712305,1033.453108936946,1076.2524081726588,3125.3307843210723,2179.0255322564503,2.215591466872538
Wet gravel,2340.27148514839,1659.267077363692,1188,1823,680.2287675262113,843.2955800483096,1021.2496400424847,1086.48411319685,2340.270851687435,1659.267010083413,2.5609703691780146
Wet gravel,1327.837753522633,910.4405868814831,1835,2537,824.1888473023575,1016.7048025236894,1164.1222981532292,1222.5760039760075,1327.8313296248962,910.4405854141222,0.5660554290054245
Wet gravel,674.4110612633287,381.99974331206346,1844,3425,965.657285215603,1205.2157282650508,1217.0791328896341,1254.8602160601554,674.408598881035,381.9997368224315,1.2915012599606914
Wet gravel,1094.2298347759336,837.599739225392,1673,2051,756.9960085917177,904.0138876796528,1093.1235607431984,1146.1672789927768,1094.22798835518,837.599739093131,0.32345739125823325
Wet gravel,1522.2246189832715,975.7825214989659,1577,2343,753.8302070543956,952.6709539856168,1119.5099558573302,1192.1873124330627,1522.2164743949832,975.7824348643417,0.4707687234532969
Wet gravel,1577.065560463701,1086.1854701651205,1484,2173,716.6831874705306,881.969327031013,1046.091783160447,1102.741746178494,1577.065424455336,1086.185421581908,1.8941580828239974
Wet gravel,1323.833478290205,851.7897918445167,1644,2685,825.2081463178813,1021.0213556377147,1157.3006170423232,1206.083904789819,1323.8267996741151,851.7897639312351,0.7521333624391691
Wet gravel,1352.7953921259104,895.2947428478769,1712,2626,783.9741640967482,971.8364680705013,1103.843319227035,1160.5447424523327,1352.789827094765,895.2947292242252,1.0432920316088552
Wet gravel,982.5847474960302,580.6924866316804,1880,2892,844.2931109482183,1081.9533362029817,1193.4712076254111,1261.9641659589493,982.5436376816909,580.6923457451289,1.1029500749189953
Wet gravel,1304.1972650665364,740.1822389415676,1613,2834,828.1891476115883,1075.4958252121592,1185.356879959934,1253.6642766085254,1304.169538896947,740.1822088436757,0.861639499163227
Wet gravel,1101.3550114769876,645.7980695915671,2081,3243,904.950745188969,1132.8703078899412,1209.0927607795848,1251.793533582923,1101.3470547846755,645.7980316045162,0.09427655745430163
Wet gravel,1133.6201074962776,581.867177301899,1870,3412,907.0099413372456,1173.6193247073015,1200.0223269868573,1252.6611759135913,1133.6177030287756,581.866765369688,1.3345661302048448
Wet gravel,388.44540276132875,216.91257288842246,2975,5651,1327.7022354279475,1584.7116077505234,1405.6870601998064,1397.4210453572775,388.44229203894145,216.9125453558137,2.0326710985818464
Wet gravel,871.4726011393337,619.8765066573737,2390,3411,1234.7526562892622,1436.678960673928,1409.245282581574,1429.2759968328596,871.4721528042761,619.8764852214069,0.3617596766753861
Wet gravel,1020.8406594800746,831.7299201154966,3736,4467,1336.9207248407995,1497.0519833187193,1412.5251635107516,1416.9854048098946,1020.8226197260446,831.7298955596766,-0.013442206254391298
Wet gravel,1609.8782641963455,940.9129693359909,1885,3063,912.9008300265609,1157.631507679064,1216.1177173857247,1271.460586904326,1609.8337835680265,940.9127880563731,1.3775843404539012
Wet gravel,1547.5182091674722,1068.3394529403781,2918,4221,1200.5399272559678,1409.619064277083,1364.1285036700995,1381.26603224233,1547.4679587671312,1068.3393719463681,-0.04000658756822162
Wet gravel,1409.3319771184283,962.0074479901751,2145,3044,991.4702168035853,1186.9025850965127,1263.8093464416256,1296.4936584705326,1409.3310950710593,962.0074445155554,0.1816928799193991
Wet gravel,1711.080028790624,954.3668753264258,1551,2561,806.3080687634077,1049.7715245468175,1142.6764168498892,1208.125234604362,1710.9557368751343,954.3668166007858,0.730426556566754
Wet gravel,1853.9709062470345,1062.3028606145522,1435,2431,777.9680782671303,999.8806870849972,1138.541218982249,1201.7456145383583,1853.926463241458,1062.3021452728567,0.9070920726921119
Wet gravel,1734.888665493509,1085.4003811768625,1841,2853,871.0334993888805,1094.2746191111103,1207.1443289951085,1263.3936546901332,1734.8779870907927,1085.4003810308454,0.9126410727908745
Wet gravel,1863.2843639203227,1106.1362299588984,2050,3540,964.8311823797901,1201.198945977579,1257.1640679997831,1306.2344213384426,1863.2780826776689,1106.1359433945881,1.8088478302153055
Wet gravel,1944.6256547822577,1187.9313844891794,2206,3456,967.723651488078,1191.8755908247574,1213.2688183287564,1253.494367205691,1944.6114181882413,1187.9312804591752,1.0497440134885059
Wet gravel,1433.2242396320373,1030.564162001058,3119,4373,1197.1898389576934,1381.9018456093468,1330.7847228655721,1340.9813099293508,1433.2221615968633,1030.563943381993,0.9510293374979151
Wet gravel,1526.5805620968642,1004.8381662672679,2690,4093,1158.0560082135419,1384.6330847100085,1352.4233690988044,1375.9137993936577,1526.579793118088,1004.8380805143852,0.1548623055333107
Wet gravel,1611.6020927709385,983.5339042383563,2267,3466,1022.354398784633,1266.6706665735423,1298.6810912830942,1339.6112041470328,1611.6006825271445,983.5337707274309,0.1257659283302921
Wet gravel,1723.544821431333,1201.9818433268513,1970,2813,934.4534168449323,1124.2439109107113,1231.7692523703302,1278.3801050507745,1723.5443328614292,1201.9817268440802,0.4826439070988524
Wet gravel,1664.4257009150374,1099.1610603840152,1788,2876,882.0256862665062,1076.189839931394,1162.4006981086648,1208.940315566045,1664.4113316649393,1099.1610217056727,1.6356481045994267
Wet gravel,2029.3634018436517,1361.0513343403566,1628,2736,927.7303423059518,1102.8314502195647,1082.1565469766188,1101.7741232706126,2029.31909087343,1361.0513225491604,40.739800293394865
Wet gravel,1828.409059329285,859.8870989414944,1912,3892,997.7374903557064,1294.295696794268,1277.5103898622756,1322.625567095162,1828.3811109260962,859.8869304342338,0.26227819942986086
Dry gravel,273.453450051926,256.759753925088,4384,4516,1435.5205068019068,1496.2975605237639,1170.3166874498927,1159.0581828172515,273.4532905803096,256.7597491898241,16.286681444296647
Dry gravel,937.5284551517022,834.4659874300896,5412,6518,1613.2471475819896,1715.0061607071189,1187.5510445513305,1153.7393864635849,937.5252599117292,834.4658981197496,193.0241890159086
Dry gravel,627.9428405077142,585.1515819856115,5617,5989,1408.1320797926096,1481.4547922139661,1145.3663902316039,1131.394152606707,627.9413887055983,585.1514465154078,1.8692269922568832
Dry gravel,573.4847399582285,513.3316222498938,5262,5742,1338.1428363115629,1426.0296139726581,1125.9962849991814,1110.1250013910126,573.4847263954352,513.3316210010828,1.5971511480938227
Dry gravel,930.2455495706729,806.1246608152537,4665,5357,1193.4188187795041,1290.0512838346408,1058.7180175011897,1046.939109528903,930.2445993667108,806.1246486257048,0.8369372948510807
Dry gravel,1445.1530704329248,1218.165550203277,4786,5547,1175.1167165786687,1280.4568975418565,1028.5017754520406,1012.8301159601763,1445.1530571205756,1218.1654008119926,0.7887178695095236
Dry gravel,1786.412875548955,1560.1663645466417,4892,5515,1140.9159853939195,1228.5721070940167,972.3405532109581,954.511553179386,1786.4113921596113,1560.1660725994022,0.5616753713395712
Dry gravel,2184.525780323694,1942.812919532606,5066,5640,1191.7862903187358,1271.270911146375,998.5051842656504,979.0666131820132,2184.525367001621,1942.8128331238943,9.835004624802192
Dry gravel,2599.5584334197383,2363.0331553256924,5358,5788,1204.3203271146067,1284.2101401185537,970.4665329737684,951.7975355078152,2599.553796437032,2363.0329710945075,0.28911243757788485
Dry gravel,2766.1396912403247,2583.5594977669098,5296,5645,1249.4710410969865,1314.1037778912528,1016.3552366584324,1001.7158606969249,2766.1396816676624,2583.55936043661,0.7911762689427557
Dry gravel,2950.8781189785977,2706.405421007588,5053,5458,1210.5704113958086,1280.7187827588582,1012.6039046470511,997.5922182456892,2950.8778624316524,2706.4054034245446,4.9904845144932715
Dry gravel,3142.442637635244,2797.441033378197,4562,5075,1134.8950913821823,1216.5112740067439,989.1036897994535,977.0368545190563,3142.4423803014893,2797.4406665436936,1.6073145301442304
Dry gravel,2718.50612192685,2524.92460236061,4303,4550,1211.9675378008747,1277.815779040587,1069.7421640283235,1061.267998679532,2718.5057933294343,2524.924395719611,2.843256674828809
Dry gravel,3431.932571848782,3195.7931298980498,4811,5089,1222.8247145431274,1283.137833081992,1063.843679878125,1048.1568656219638,3431.9318454146883,3195.7925115873727,2.4278125156688075
Dry gravel,3404.88692866013,3103.0731433309884,4670,5000,1203.785640773846,1280.1035833583246,1050.949302005698,1042.3548090316272,3404.8868045904546,3103.0726959187687,8.308026618432475
