Label,RMS,RMS_filt,Zero_Cross,Zero_Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt,kurt_filt
Dry asphalt,1656.5657216330371,1600.1673067096535,8157,8525,1506.7725290793271,1555.54696822595,924.4698305604119,897.3289468969248,1656.5656827471885,1600.1667313002006,1.043304869881621
Dry asphalt,2100.432065028935,2026.8511283662367,8541,8874,1533.298543223074,1582.0894694563763,906.8321156401781,869.428956497887,2100.431968346762,2026.8510885801816,0.858933157520676
Dry asphalt,3718.8437130197235,3473.077181041171,7533,8086,1411.7341367473898,1482.098892121521,906.8439663388982,880.5911850553881,3718.8437030629166,3473.0765280524583,0.6376985733451659
Dry asphalt,5185.855233997829,4757.537755806634,7418,7962,1390.1764068786065,1459.4578209884075,928.2710384880054,891.621362938962,5185.855176206517,4757.537572201968,0.4423156703678748
Dry asphalt,5717.340091223176,5423.69187813875,7917,8358,1453.6461185632136,1510.0365423723401,899.9990240142712,863.6660038165479,5717.33886177821,5423.6908050673665,0.47317082223823537
Dry asphalt,6929.9812908865,6456.028799703934,7513,7968,1406.6519847000707,1470.3992977370824,917.0237830374542,883.7652992891044,6929.978085323717,6456.027300920643,0.3151854628609012
Dry asphalt,7189.148437689177,6727.819753727844,7497,7988,1407.9987006562299,1465.3986933498823,922.9439571949723,878.6363408370865,7189.14843768419,6727.819724212561,0.3199142885333157
Dry asphalt,7379.438138337671,6897.52203176927,7547,7998,1396.1937421444777,1452.6798978598695,925.3861038937276,888.1524891733674,7379.436512526326,6897.521997157695,0.34754124619756377
Dry asphalt,7123.170946574812,6678.808947483388,7583,8022,1408.442094163979,1464.7934912798303,928.9424117858711,888.6967520244251,7123.170844729071,6678.804550609054,0.33873249072038414
Dry asphalt,7088.368873254347,6658.154559571058,7715,8156,1418.6938239988906,1474.9980137478879,909.7888373024288,873.7183310501466,7088.3688575081505,6658.150459332845,0.2197734152540729
Dry asphalt,7222.72688973091,6714.072244731735,7532,7983,1383.5452677667486,1449.6524315020597,907.6104642823727,878.7498447808084,7222.723684939493,6714.068857073366,0.32969740091521516
Dry asphalt,7074.81126909339,6630.191996337899,7548,8006,1400.9944596331752,1466.7990300777587,901.5733741947452,871.808158316634,7074.811217802411,6630.191508615894,0.3156261311454789
Dry asphalt,6955.845795527871,6689.366418895536,8170,8483,1479.7536916373112,1532.7911405806203,887.7957431183269,872.0256108914549,6955.841989875429,6689.358884351137,0.3180792723239918
Dry asphalt,7246.0221722264105,6906.337537702892,8076,8421,1461.9922721635862,1508.899186320382,911.0414263594162,866.0965780557567,7246.02206081647,6906.336389243757,0.2658313512756876
Dry asphalt,7228.260610667773,6856.532512059568,7786,8168,1427.2143323973955,1486.8152229335872,894.9322144490018,865.9325420193676,7228.260574781137,6856.53175320206,0.33701588117907466
Dry asphalt,6919.363471256486,6637.526083366696,7874,8203,1444.7971270020626,1494.0142234184163,886.3130303099115,860.4479157943355,6919.362868287606,6637.5243216091,0.2906668650667976
Dry asphalt,6889.989563252178,6606.339880787817,7864,8277,1445.6430946773812,1500.494513797534,887.8873443801799,867.4531053948183,6889.9893117941,6606.339879952148,0.3882191396262291
Dry asphalt,7017.385000918099,6615.131816898912,7771,8255,1433.801549357702,1494.1099886200975,908.0398903363464,875.7631678202553,7017.384971737838,6615.131274820169,0.2989318981847364
Dry asphalt,7198.462747374014,6677.798481252768,7327,7862,1365.0206973114155,1434.0432489862258,917.4939442772483,887.4385870029374,7198.461969862848,6677.798401729596,0.26746028600697036
Dry asphalt,7421.694987907574,6800.823092167605,7133,7656,1347.8370518301783,1418.0675012669544,922.2450072638023,891.5838690801261,7421.694986144158,6800.822128080053,0.28170425898377527
Dry asphalt,7600.277135292881,7022.015314177773,7350,7921,1375.1788725744987,1446.823890164169,926.4149385826836,899.7694486340811,7600.274276841682,7022.015283126499,0.23050940013160925
Dry asphalt,8104.4191868980115,7266.929306845103,6905,7623,1339.095586711179,1416.3484065704538,950.8388914446375,914.6101567158266,8104.418383657206,7266.929244798479,0.27595074059206626
Dry asphalt,7845.4299167005875,7299.239643348289,7717,8230,1413.345953189582,1481.032148248596,931.0148014737109,899.430329590695,7845.4282061632985,7299.23938782408,0.31006878092595924
Dry asphalt,8794.391284708196,8133.379953309722,7520,8112,1403.258485750369,1474.8608990644411,932.5918268783813,903.5517393524683,8794.390894049886,8133.379722589506,0.07998746532376488
Dry asphalt,9939.633215607262,9220.694755704255,7199,7679,1360.8913602273044,1428.6113690366915,937.77418937935,918.8038791849535,9939.633179084782,9220.689257851525,0.18033655711409668
Dry asphalt,9953.961799888373,9249.342204276438,7638,8114,1405.6160131317993,1468.372372755328,932.4562188129386,897.5287165129196,9953.960622885274,9249.341670021427,0.10852002638008829
Dry asphalt,10914.582359532387,9907.448445973654,7063,7713,1368.9183905809177,1435.4226418252463,974.1100218480298,938.849709079804,10914.575099970656,9907.441536143,0.021380838141789482
Dry asphalt,11127.139456349267,10282.235084596408,7334,7858,1377.734623976599,1447.2723282006257,955.3100211603669,929.466728099304,11127.135521744227,10282.23366008066,0.004046627766171262
Dry asphalt,10563.55347134657,9778.543202741635,7543,7997,1404.5037887039935,1464.7758570039125,959.0661356242962,917.2348352166199,10563.552774067342,9778.542960492141,0.024098483123942138
Dry asphalt,10636.035546996354,9937.005268171686,7223,7661,1357.517949796051,1418.0514242166726,940.9141257582786,915.510872295182,10636.025540792334,9937.003371895764,0.16947583767584096
