Label,RMS,RMS_filt,Zero_Cross,Zero_Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt,kurt_filt
Wet gravel,121.9239146093833,85.87118160323439,1120,1674,712.5904996804942,812.0604470475291,900.8488695367259,920.8849937460664,121.92284557295643,85.87117244812993,-0.3624601373654075
Wet gravel,118.56077762961843,82.954566641256,1603,2353,836.8418452472105,959.8708169613147,1023.9019867601772,1052.3629476587723,118.55970272870759,82.95455054014292,-0.06392442828414513
Wet gravel,143.7060595889978,105.42273134760246,3033,4376,1273.9581217321183,1420.2785316389668,1242.6124586103954,1233.8428115719676,143.70459814525316,105.42272665761583,0.18863861982069308
Wet gravel,180.74153438104864,133.4367621474896,3092,4087,1165.0997236239339,1327.875529283612,1232.0124702292264,1235.4716661058198,180.7410342354239,133.4367549907587,2.368671043811693
Wet gravel,297.38314295649525,233.135263391421,4443,5729,1466.8412660917031,1608.2609252006487,1333.45767974911,1316.2499090313577,297.3824295936256,233.13524493170837,1.4125485144264083
Wet gravel,602.0773150254219,425.9358805758174,3186,4770,1317.0617019591882,1467.744449558085,1294.4276338848076,1290.029653236383,602.0773149196701,425.93563194504725,0.11302587484229809
Wet gravel,640.7642116030662,540.001096447703,2615,3096,948.501196242157,1051.5835058782434,1093.4413116538958,1098.5824093901306,640.7635306635168,540.0009885562831,0.2732668433442762
Wet gravel,924.9648967541923,612.5658256789015,2618,3802,999.0781512442421,1181.6572889770644,1126.2198681840403,1139.8880371746743,924.9645763196429,612.5657190907057,8.254162608370379
Wet gravel,808.7329694971248,623.6399080861888,2236,2931,886.5955423582545,1003.7520792820613,1034.3450721335657,1047.2849440674063,808.7307475617675,623.6398407010454,0.21513802357099365
Wet gravel,1102.630537148354,879.6597729277566,2302,2857,891.2709836410942,1001.2647219775268,1006.4088173528435,1019.2938548700077,1102.6302204745398,879.6597167208728,0.7548788459923026
Wet gravel,1069.164535441931,903.167826271281,3088,3738,1168.8336853685948,1278.0121399133602,1203.916766362002,1207.1910874078208,1069.1644785074461,903.1675800900582,0.47976056380359156
Wet gravel,993.874567898939,805.8444468734275,3008,3743,1037.9533944902635,1153.2034197348337,1105.9842879025084,1109.411503587822,993.8745661665216,805.8443212356813,6.56573993064778
Wet gravel,1189.43604817502,1037.183509820333,2265,2618,836.038112036081,922.8639025040151,964.9434966175805,970.4501808363702,1189.4356808512962,1037.18350647725,0.9231210136441463
Wet gravel,786.6603194473862,667.2289395251952,2722,3277,936.5121550244202,1034.440311131166,1037.6809845890177,1041.1833470710133,786.6590294314652,667.228807372465,2.905645249389563
Wet gravel,813.9136227041085,700.2450156296723,3065,3450,1084.150687071996,1183.6361027909356,1158.4053903007689,1151.4212980685447,813.9119087289532,700.2445692064518,0.5022011184525175
